longitude,latitude,name,address,city,state,zip,phone
-81.756906,24.571897,KEY WEST-ROOSVLT,3704 N Roosevelt Blvd,Key West,FL,33040,(305) 293-7606
-81.073326,24.716418,MARATHON,5595 Overseas Hwy,Marathon,FL,33050,(305) 743-0707
-80.522609,25.004612,TAVERNIER,91400 Overseas Hwy,Tavernier,FL,33070,(305) 852-2463
-80.427325,25.108703,KEY LARGO,101000 Overseas Hwy,Key Largo,FL,33037,(305) 451-5861
-80.474594,25.442581,FLORIDA CITY,425 Se 1st Ave,Homestead,FL,33034,(305) 248-9285
-80.434625,25.477004,"HOMESTEAD, CAMPB",2880 Ne 8th St,Homestead,FL,33033,(305) 242-9774
-80.473083,25.457704,FLORIDA CITY W*M,33501 S Dixie Hwy # 2727,Homestead,FL,33034,(305) 247-2979
-80.411901,25.499222,NORTH HOMESTEAD,13690 Biscayne Dr,Homestead,FL,33033,(305) 247-2704
-97.490927,25.901047,BROWNSVL/INTL,1104 International Blvd,Brownsville,TX,78520-6844,(956) 544-8406
-97.544717,25.944937,MILITARY RD,2025 U.S. Hwy 281,Brownsville,TX,78520,(956) 709-2013
-97.511905,25.926565,"BROWNSVILLE, BOC",1609 Central Blvd,Brownsville,TX,78520,(956) 504-9442
-97.491405,25.921255,BRWNSVL-S EXPRSY,101 S Expressway,Brownsville,TX,78520-8049,(956) 541-1031
-97.447317,25.893775,BROWNSVILLE,4690 Southmost Rd,Brownsville,TX,78520,(956) 443-4781
-97.46697,25.919916,BROWNSVLE/14TH,4484 E 14th St,Brownsville,TX,78521-3240,(956) 542-5088
-97.504128,25.948421,BROWNSVLE/H-77,2260 N Expressway,Brownsville,TX,78521,(956) 544-4800
-97.513509,25.967408,MORRISON @ HWY 7,4315 N Expressway 77,Brownsville,TX,78526,(956) 350-2527
-97.486278,25.952244,"BROWNSVILLE, FM",117 America Drive,Brownsville,TX,78526,(956) 554-9821
-97.483454,25.983416,BROWNSVILLE-PARE,5500 Paredes Line Rd,Brownsville,TX,78526,(956) 427-5848
-97.426725,25.943663,HWY 48 & FM 802,7400 Padre Island Hwy,Brownsville,TX,78521,(956) 831-4505
-97.475018,26.071901,LOS FRESNOS,115 Ocean Boulevard,Los Fresnos,TX,78566,(956) 233-1711
-97.63656,26.125974,SAN BENITO-US 83,821 S Sam Houston,San Benito,TX,78586-3062,(956) 399-4033
-97.164315,26.091091,SO. PAD. IS/PADR,908 S Padre Blvd,South Padre Island,TX,78597,(956) 761-4999
-81.727494,25.952874,MARCO ISL.,899 N Collier Blvd,Marco Island,FL,34145,(239) 642-8899
-81.70224,26.066057,FREEDOM SQ,12615 Tamiami Trl E,Naples,FL,34113,(239) 732-0117
-80.447512,25.712198,MILLER CROSSINGS,5700 Sw 157th Ave,Miami,FL,33193,(305) 383-1447
-80.446643,25.684779,KENDALL/SW 157,15715 Sw 88th St,Miami,FL,33196,(305) 387-4249
-80.443349,25.670286,MIAMI- S. W. 104,15295 Sw 104th St,Miami,FL,33196,(305) 388-0560
-80.431431,25.729033,BIRD & 147TH,14699 Sw 42nd St,Miami,FL,33175,(305) 226-2422
-80.43208,25.760479,SW 8TH & SW 147T,14670 Sw 8th St,Miami,FL,33184,(305) 228-4343
-80.415976,25.714164,MILLER ROAD,13702 Sw 56th St,Miami,FL,33175,(305) 387-1356
-80.415527,25.625854,COUNTRY WALK,13708 Sw 152nd St,Miami,FL,33177,(305) 232-2860
-80.407332,25.664239,SOUTH KENDALL,11115 Sw 132nd Ave,Miami,FL,33186,(305) 387-7007
-80.403456,25.686063,KENDALL-LAKES,13101 Sw 88th St,Miami,FL,33186,(305) 386-3998
-80.246245,25.736552,GROVE,3200 S Dixie Hwy,Miami,FL,33133,(786) 489-1703
-80.248185,25.749746,CORAL WAY,3280 Coral Way,Miami,FL,33145,(305) 444-5466
-80.198866,25.766632,SW 8TH & 3RD AVE,299 Sw 8th St,Miami,FL,33130,(305) 856-6770
-80.218683,25.765501,LITTLE HAVANA,1400 Sw 8th St,Miami,FL,33135,(305) 285-0974
-80.274593,25.715959,CORAL GABLES,1148 S Dixie Hwy,Coral Gables,FL,33146,(305) 666-9919
-80.211831,25.773374,FLAGLER,1016 W Flagler St,Miami,FL,33130,(305) 545-7788
-80.241236,25.764843,MIAMI-2900 SW 8T,2940 Sw 8th St,Miami,FL,33135,(305) 541-4768
-80.190172,25.778003,DOWNTOWN RELO,345 Ne 2nd Ave,Miami,FL,33132,(305) 371-8161
-80.292742,25.701277,UNIVERSITY,6150 S Dixie Hwy,Miami,FL,33143-5003,(305) 661-7131
-80.26286,25.763235,MIAMI-LEJEUNE,4180 Sw 9th St,Miami,FL,33134,(305) 443-9366
-80.256514,25.779265,DOUGLAS,3747 Nw 7th St,Miami,FL,33126,(305) 646-0423
-80.303266,25.733056,CROSSROADS,6700 Bird Rd,Miami,FL,33155,(305) 667-3551
-80.140924,25.789141,ALTON RD & 16TH,1601 Alton Rd,Miami Beach,FL,33139,(305) 672-7055
-80.132081,25.790433,MIAMI BCH/LINCLN,1650 Washington Ave,Miami Beach,FL,33139,(305) 672-8031
-80.286927,25.777626,7 & 57,5650 Nw 7th Ave,Miami,FL,33127,(305) 262-3961
-80.189163,25.809965,MIAMI-BISCAYNE,3501 Biscayne Blvd,Miami,FL,33137,(305) 573-6064
-80.232268,25.809094,36TH/22ND,2200 Nw 36th St,Miami,FL,33142,(305) 633-1385
-80.323661,25.733566,TROPICAL PARK,7901 Bird Rd,Miami,FL,33155,(305) 264-1244
-80.313,25.763141,MIAMI-SW 8TH,7215 Sw 8th St,Miami,FL,33144,(305) 261-3441
-80.329566,25.652864,SUNILAND,12647 S Dixie Hwy,Pinecrest,FL,33156,(305) 233-0058
-80.27729,25.808362,MIAMI SPRGS,4999 Nw 36th St,Miami Springs,FL,33166,(305) 885-7698
-80.336076,25.748622,WESTCHESTER,2300 Sw 87th Ave,Miami,FL,33165,(305) 220-0024
-80.345713,25.716621,MILLER & 93,9341 Sw 56th St,Miami,FL,33165,(305) 270-1943
-80.206753,25.83273,I-95 & 62ND,599 Nw 62nd St,Miami,FL,33150,(305) 751-5636
