-76.976105,42.95044,"AMBEST [7/11 Store]-Phelps,NY","I-86 Exit 63, Phelps,NY 14532|315-781-1464|100 Truck Parking Spots"
-78.018327,39.628023,"AMBEST [A C & T Big Pool Exxon]-Big Pool,MD","I-70 Exit 12, Big Pool,MD 21711|301-842-3289|None listed"
-77.877831,39.576889,"AMBEST [A C & T Falling Waters Exxon]-Falling Waters,WV","I-81 Exit 23, Falling Waters,WV 25419|304-274-1312|4 Truck Parking Spots"
-77.743799,39.66476,"AMBEST [A C & T Garland Groh]-Hagerstown,MD","I-81 Exit 7B, Hagerstown,MD 21741|301- 582-5494|None listed"
-77.729749,39.608849,"AMBEST [A C & T Sharpsburg Pike Exxon]-Hagerstown,MD","I-70 Exit 29, Hagerstown,MD 21740|301-797-0302|None listed"
-77.784686,39.63132,"AMBEST [A C & T Travel Center]-Hagerstown,MD","I-81 Exit 5 B, Hagerstown,MD 21740|301-582-2702|175 Truck Parking Spots"
-97.0913,31.89898,"AMBEST [Abbotts Travel Center]-Abbott,TX","I-35 Exit 359, Abbott,TX 76621|254-575-3127|40 Truck Parking Spots"
-90.43164,44.94614,"AMBEST [Abbyland Truck Stop]-Curtiss,WI","Hwy 29 @ Exit 127, Curtiss,WI 54422|715-223-6666|100 Truck Parking Spots"
-95.42264,29.606819,"AMBEST [Alameda Swift Truck Stop]-Houston,TX","13740 Almeda Rd, Houston,TX 77053|832-834-6590|15 Truck Parking Spots"
-100.896861,34.941824,"AMBEST [Allsup's]-Clarendon,TX","805 West 2nd St, Clarendon,TX 79226|806-874-0187|15 Truck Parking Spots"
-101.466374,36.688666,"AMBEST [Allsup's]-Guymon,OK","Hwy 54 at US Hwy 54 & 64, Guymon,OK 73942|580-338-4228|75 Truck Parking Spots"
-99.984204,32.467865,"AMBEST [Allsup's]-Merkel,TX","9232 Interstate 20, Merkel,TX 79536|325-928-5584|20+ Truck Parking Spots"
-108.738843,39.154152,"AMBEST [Alta Convenience]-Fruita,CO","I-70 Exit 19; 555 Raptor Rd, Fruita,CO 81521|970-858-8006|35 Truck Parking Spots"
-119.979366,46.309447,"AMBEST [Ameristar Travel Plaza 101]-Sunnyside,WA","I-82 Exit 69, Sunnyside,WA 98944|509-839-5300|75 Truck Parking Spots"
-119.788043,46.220961,"AMBEST [Ameristar Travel Plaza 120]-Prosser,WA","I-82 Exit 80, Prosser,WA 99350|509-786-1440|35 Truck Parking Spots"
-98.89524,29.12931,"AMBEST [Amigo's Country Corner]-Devine,TX","I-35 Exit 122, Devine,TX 78016|830-663-5170|None listed"
-70.994886,43.213841,"AMBEST [Applegreen Barrington]-Barrington,NH","I-25 & Hwy 9, Barrington,NH 3825|603-905-9052|None listed"
-118.683905,45.642384,"AMBEST [Arrowhead Travel Plaza]-Pendleton,OR","I-84 Exit 216, Pendleton,OR 97801|541-276-8080|100 Truck Parking Spots"
-91.538719,40.123736,"AMBEST [Ayerco 32]-Canton,MO","US Hwy 61 Exit P, Canton,MO 63435|573-288-0378|50 Truck Parking Spots"
-91.178488,39.33211,"AMBEST [Ayerco 35 ]-Bowling Green,MO","US Hwy 61 Exit 161, Bowling Green,MO 63334|573-324-3006|None listed"
-91.50915,39.692017,"AMBEST [Ayerco 44]-Palmyra,MO","US Hwy 36 Exit Hwy 24, Palmyra,MO 63461|573-248-0006|None listed"
-111.49861,40.73368,"AMBEST [Bell's Silvercreek Junction]-Park City,UT","I-80 Exit 146, Park City,UT 84068|435-649-9243|70 Truck Parking Spots"
-95.371249,29.938428,"AMBEST [Beltway 8 Travel Plaza]-Houston,TX","Beltway 8 @ Aldine Westfield, Houston,TX 77032|832-230-5927|100 Truck Parking Spots"
-76.186162,36.883383,"AMBEST [Big Charlie's Truck Plaza]-Virginia Beach,VA","I-64 Exit 282, Virginia Beach,VA 23455|757-460-2032|117 Truck Parking Spots"
-106.402379,35.416589,"AMBEST [Black Mesa Travel Center]-San Felipe Pueblo,NM","I-25 Exit 252, San Felipe Pueblo,NM 87001|505- 867-4706|30+ Truck Parking Spots"
